feature,token_id,V1,cluster,feature,predicted_value,word,sentence,pos_coarse,pos_fine,dependency,lemma,head,head_pos,head_lemma,head_dependency,entity_type,entity_label,is_alpha,is_stop,is_punct,shape,top_bottom
FALSE,54057,75639,4,FALSE,-0.2844638,speaks,"But I am very happy here now , "" said Park , who speaks basic Mandarin now .",VERB,VBZ,relcl,speak,Park,PROPN,Park,nsubj,,O,TRUE,FALSE,FALSE,xxxx,bottom
FALSE,79819,131373,0,FALSE,-0.25028333,4,"The sun rises behind the Hawthorne Bridge on Saturday , March 4 , 2017 .",NUM,CD,nummod,4,March,PROPN,March,appos,DATE,I,FALSE,FALSE,FALSE,d,bottom
FALSE,101516,238860,2,FALSE,-0.29345295,head,# The boy frowned and shook his head .,NOUN,NN,dobj,head,shook,VERB,shake,conj,,O,TRUE,FALSE,FALSE,xxxx,bottom
FALSE,145589,103506,3,FALSE,-0.28765488,shoulder,"# Thomas had an urge to look over his shoulder for the unseen boy , Shep 's intended playmate .",NOUN,NN,pobj,shoulder,over,ADP,over,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
FALSE,160858,278670,0,FALSE,-0.27984732,head,"Oh , "" I blurted , thumping my head on the shield of glass .",NOUN,NN,dobj,head,thumping,VERB,thump,advcl,,O,TRUE,FALSE,FALSE,xxxx,bottom
FALSE,198099,210993,0,FALSE,-0.25918224,back,<p> Being born without back paws has n't stopped this playful pup .,ADJ,JJ,amod,back,paws,NOUN,paw,pobj,,O,TRUE,TRUE,FALSE,xxxx,bottom
FALSE,208207,15924,3,FALSE,-0.27774814,bird,"Anhingas go by many names : darter , devil bird , water turkey , and snakebird .",NOUN,NN,npadvmod,bird,darter,NOUN,darter,dep,,O,TRUE,FALSE,FALSE,xxxx,bottom
FALSE,217829,19905,2,FALSE,-0.32080957,chicken,"it took her to consume half of Evelyn 's h a m sandwich and a chicken thigh from Boston Market , and relieve herself twice .",NOUN,NN,compound,chicken,thigh,NOUN,thigh,conj,,O,TRUE,FALSE,FALSE,xxxx,bottom
TRUE,24360,210994,0,TRUE,3.1394498,book,"You might think a book about digital music and filesharing would mention him sooner , but the first time the name Shawn Fanning shows up in How Music Got Free : The End of an Industry , the Turn of the Century , and the Patient Zero of Piracy is on page 114 .",NOUN,NN,nsubj,book,mention,VERB,mention,ccomp,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,34595,75640,4,TRUE,2.6326494,true,# It is also true that one may not assert a claim to a calling .,ADJ,JJ,acomp,true,is,AUX,be,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,55552,1,1,TRUE,2.735046,Truth,"# Truth to tell , I was temped by one of Hell 's Belles , a gorgeous young blonde with the deep-bosomed body of a seductress and the wide , cornflower blue eyes of a naf .",NOUN,NN,nsubjpass,truth,temped,VERB,tempe,ROOT,,O,TRUE,FALSE,FALSE,Xxxxx,top
TRUE,105519,23887,1,TRUE,3.3470542,writing,But I am writing a story in which a woman turns into a fish . ',VERB,VBG,ROOT,write,writing,VERB,write,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,128517,250804,1,TRUE,3.2822556,written,"And I must say , as I read your book , and both my older daughter and I both thought in the beginning it had been written by a woman .",VERB,VBN,ccomp,write,thought,VERB,think,conj,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,132056,27868,1,TRUE,2.491678,answered,"I was still concerned about the accusations from respected scholars like Mazza , and they had not yet been answered .",VERB,VBN,conj,answer,was,AUX,be,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,142743,15925,3,TRUE,3.9316075,true,"# Maybe they were too good to be true , I think now , squinting up at him as we turn the corner , hand in hand .",ADJ,JJ,acomp,true,be,AUX,be,xcomp,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,144630,7963,2,TRUE,2.550844,fair,"To be fair to Tillerson , those remarks stressed that the distinction between interests and values happened only "" in some circumstances . """,ADJ,JJ,acomp,fair,be,AUX,be,advcl,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,204251,35830,0,TRUE,2.9155319,truth,But no amount of grifter charm can conceal his alarming disregard for facts and truth .,NOUN,NN,conj,truth,facts,NOUN,fact,pobj,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,212600,91564,1,TRUE,3.4963598,true,"<p> Eastwood is currently readying the next project he will direct , The 15:17 to Paris , which is the true story of three American friends who defeated an attempted terrorist attack on a train bound from Brussels to Paris in 2015.",ADJ,JJ,amod,true,story,NOUN,story,attr,,O,TRUE,FALSE,FALSE,xxxx,top
TRUE,11415,19906,0,TRUE,-1.8711997,Blue,"# KENNY CHESNEY # ' Christmas in Blue Chair Bay ' # For those in warmer climes , put on this laid-back ditty .",PROPN,NNP,compound,Blue,Bay,PROPN,Bay,pobj,LOC,B,TRUE,FALSE,FALSE,Xxxx,bottom
TRUE,13984,43792,4,TRUE,-2.4776237,murder,"He told me he did not commit murder , "" she added .",NOUN,NN,dobj,murder,commit,VERB,commit,ccomp,,O,TRUE,FALSE,FALSE,xxxx,bottom
TRUE,14931,19906,3,TRUE,-1.9461986,tonight,"On one side Wednesday at Busch Stadium were the Cardinals , trying to stretch their winning streak to a season-high-tying five games and put as much distance between themselves and second-place Milwaukee as they could before the teams start a four-game series tonight in Milwaukee .",NOUN,NN,npadvmod,tonight,series,NOUN,series,dobj,TIME,B,TRUE,FALSE,FALSE,xxxx,bottom
TRUE,31328,314500,1,TRUE,-1.856605,back,"When we come back , in a serious note , we need your help .",ADV,RB,advmod,back,come,VERB,come,advcl,,O,TRUE,TRUE,FALSE,xxxx,bottom
TRUE,45848,43792,0,TRUE,-1.8015553,cup,Madame poured me a cup of stale tea .,NOUN,NN,dobj,cup,poured,VERB,pour,ROOT,,O,TRUE,FALSE,FALSE,xxx,bottom
TRUE,96002,51754,0,TRUE,-1.8679179,menu,"To accommodate fans of the roadhouse , Moore plans to offer a barbecue menu for takeout and catering orders .",NOUN,NN,dobj,menu,offer,VERB,offer,xcomp,,O,TRUE,FALSE,FALSE,xxxx,bottom
TRUE,97382,59716,0,TRUE,-1.8269439,Tuesday,"On Tuesday , the Commerce Department said that along with selling prohibited U.S. electronics to build Iran 's telecom networks , ZTE also made 283 shipments of microprocessors , servers and routers to North Korea , violating American embargoes in that country as well .",PROPN,NNP,pobj,Tuesday,On,ADP,on,prep,DATE,B,TRUE,FALSE,FALSE,Xxxxx,bottom
TRUE,105570,27868,4,TRUE,-2.4275477,chair,"<p> "" I just got goosebumps and nearly fell off the chair , "" Hawkins recalls , when she first heard that the filmmaker had written a character specifically for her .",NOUN,NN,pobj,chair,off,ADP,off,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
TRUE,109512,75640,0,TRUE,-2.056707,eyes,"She came to a stop on the boardwalk , and her eyes lifted to meet Jared 's .",NOUN,NNS,nsubj,eye,lifted,VERB,lift,conj,,O,TRUE,FALSE,FALSE,xxxx,bottom
TRUE,125616,270709,1,TRUE,-2.1768432,business,"# It should be noted that some groups struggled to see how a student would demonstrate EMRG Level 5 ( ensure/advise ) , since this assessment would not necessarily be conducted in the context of an actual business .",NOUN,NN,pobj,business,of,ADP,of,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
a,40369,63698,4,a,2.7302952,Johnson,"Elsewhere , Ryan Fitzpatrick was intercepted twice and did n't lead a scoring drive for the punchless Houston Texans , though he was playing without WR Andre Johnson and RB Arian Foster .",PROPN,NNP,pobj,Johnson,without,ADP,without,prep,PERSON,I,TRUE,FALSE,FALSE,Xxxxx,top
a,54840,51755,0,a,2.1821716,Johnson,But Johnson unfortunately is n't included in Lego 's final version of this set .,PROPN,NNP,nsubjpass,Johnson,included,VERB,include,ROOT,PERSON,B,TRUE,FALSE,FALSE,Xxxxx,top
a,109662,67679,4,a,2.1801474,greens,"# How to Pack the Perfect Picnic # **26;3820;TOOLONG # Say good-bye to soggy sandwiches and limp salad greens and hello to our picnic-perfect menu , including Coney Island Chili Dogs , Sugar Snap Pea Salad with Lemon-Mint Vinaigrette , Picnic Caviar , and more !",NOUN,NNS,conj,green,sandwiches,NOUN,sandwich,pobj,,O,TRUE,FALSE,FALSE,xxxx,top
a,145783,7964,4,a,2.099228,glass,He tapped his glass for attention .,NOUN,NN,dobj,glass,tapped,VERB,tap,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
a,155763,859898,3,a,2.258549,up,"Picking up the rhetorical baton from some of his GOP rivals , the Democrats portrayed him a businessman of cold calculation , indifferent to the effects of his firm 's decisions and investments on ordinary workers .",ADP,RP,prt,up,Picking,VERB,pick,advcl,,O,TRUE,TRUE,FALSE,xx,top
a,156535,39812,0,a,2.6157389,circle,"In the same classroom , the teacher might lead a circle time or whole class through a number safari or "" I Spy "" game where students look for examples of a number in the classroom to promote quick visual identification of small sets of objects ( subitizing ) .",NOUN,NN,compound,circle,time,NOUN,time,dobj,,O,TRUE,FALSE,FALSE,xxxx,top
a,190053,39812,2,a,2.1077542,green,"The New York Times reports that Pantone experts noticed a proliferation of green before the election ended , originally pegging it as a symbol of new beginnings under our presumed first female president .",NOUN,NN,pobj,green,of,ADP,of,prep,,O,TRUE,FALSE,FALSE,xxxx,top
a,195102,27869,2,a,2.0776057,green,"-- Spencer Dinwiddie was one of the Pistons ' green tomatoes , the first draft pick when after Stan Van Gundy took over the helm in 2014 .",ADJ,JJ,amod,green,tomatoes,NOUN,tomato,pobj,,O,TRUE,FALSE,FALSE,xxxx,top
a,195742,175166,3,a,2.0893254,running,"Police say Officers Felix Baez and Giovanni Laguna were patrolling a Bronx neighborhood when they saw Lilina Benigno running with her child , Ashley Dolores , down the street Friday night yelling "" help "" in Spanish .",VERB,VBG,ccomp,run,saw,VERB,see,advcl,,O,TRUE,FALSE,FALSE,xxxx,top
a,217829,19907,2,a,2.2400734,chicken,"it took her to consume half of Evelyn 's h a m sandwich and a chicken thigh from Boston Market , and relieve herself twice .",NOUN,NN,compound,chicken,thigh,NOUN,thigh,conj,,O,TRUE,FALSE,FALSE,xxxx,top
a,23447,489665,0,a,-2.237882,week,The idea was for him either to return the following week to the roster or sign to the practice squad .,NOUN,NN,dobj,week,return,VERB,return,advcl,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
a,23566,23888,0,a,-2.8478615,chickens,"I 've chosen to value , instead , the fruits of my labor from my organic garden , the eggs and meat from my free-range chickens , and the dirt , sweat and tears spent caring for what nature provides .",NOUN,NNS,pobj,chicken,from,ADP,from,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
a,31175,91565,2,a,-2.930584,white,"He was driving a white Lexus before he was arrested around 2:20 a.m. on Sunday near the intersection of 86th Street and Avenue U in Gravesend , the police said .",ADJ,JJ,amod,white,Lexus,PROPN,Lexus,dobj,,O,TRUE,FALSE,FALSE,xxxx,bottom
a,40496,95546,0,a,-2.834421,week,Expect some to start breaking back into their lineups this week .,NOUN,NN,npadvmod,week,breaking,VERB,break,xcomp,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
a,54023,83603,2,a,-2.526617,Park,"<p> "" It 's much better than flying in Korea , "" Captain Park Kil-Jae , the first Korean pilot to join a Chinese airline , told South China Morning Post .",PROPN,NNP,compound,Park,Jae,PROPN,Jae,nsubj,PERSON,B,TRUE,FALSE,FALSE,Xxxx,bottom
a,120913,326444,1,a,-2.105243,week,"As soon as this week , Sen. Claire McCaskill , D-Mo. , intends to release the results of her survey of how 450 colleges and universities treat sexual assault , and she hopes to introduce bipartisan legislation on the topic later this summer .",NOUN,NN,pobj,week,as,ADP,as,prep,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
a,129297,35831,1,a,-2.218383,birds,# CONSERVING HABITATS IN CALIFORNIA # Millions of birds forage in wetlands while migrating along the route known as the Pacific flyway .,NOUN,NNS,pobj,bird,of,ADP,of,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
a,135722,621038,2,a,-2.1842923,',"But I ' m glad that we made Parade ' s End , not Downton .",VERB,VBP,ROOT,',',VERB,',ROOT,,O,FALSE,FALSE,TRUE,',bottom
a,145084,127394,2,a,-2.1773376,season,"to 227 or fewer net passing yards this season , including Chicago ( 131 ) and Washington ( 186 ) in their past two games .",NOUN,NN,pobj,season,to,ADP,to,prep,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
a,205726,75641,2,a,-2.2088997,shoulder,"Sonja wore her salmon sweats , white T-shirt and salmon hoodie , her silky , shoulder-length mahogany hair pulled back in a neat clip .",NOUN,NN,compound,shoulder,length,NOUN,length,compound,,O,TRUE,FALSE,FALSE,xxxx,bottom
abandon,2634,35832,1,abandon,1.9316125,fired,"She also fired Jamie Horowitz as the head of the "" Today "" show just 10 weeks after she hired him .",VERB,VBD,ROOT,fire,fired,VERB,fire,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,8883,250806,2,abandon,2.1630068,moved,The last family moved out last week .,VERB,VBD,ROOT,move,moved,VERB,move,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,48658,3,0,abandon,1.86752,kick,"Barnard , the latest accuser , has started a petition for the Academy to kick him out , as they did to Weinstein last week .",VERB,VB,acl,kick,petition,NOUN,petition,dobj,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,48842,115452,1,abandon,2.0045145,fired,"The agency APA had already fired Grasham , but Wolfhard left the APA anyway , maybe to take a stand , or maybe just did n't like the idea of hanging around rapists ( alleged or not ) .",VERB,VBN,relcl,fire,agency,NOUN,agency,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,84652,135357,3,abandon,2.2630594,moving,Please refrain from moving away from containm ent vehicle .,VERB,VBG,pcomp,move,from,ADP,from,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,111288,242844,1,abandon,2.7917097,moving,Here 's why the idea of moving the U.S. Embassy in Israel remains controversial <p>,VERB,VBG,pcomp,move,of,ADP,of,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,116489,203034,1,abandon,1.9026847,moving,"Peterson and Hartfield said they 're talking about moving Terra Tech 's offices to the Weedmaps building and creating a sort of "" incubator "" center for marijuana-related businesses . """,VERB,VBG,pcomp,move,about,ADP,about,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,123600,31851,0,abandon,2.2558975,down,"he is stepping down as executive director of the nonprofit Hands On Charlotte , after 20 years in nonprofit management .",ADP,RP,prt,down,stepping,VERB,step,ROOT,,O,TRUE,TRUE,FALSE,xxxx,top
abandon,193541,75642,1,abandon,2.012945,stay,The teachers would be expected to stay at the school at least two years .,VERB,VB,xcomp,stay,expected,VERB,expect,ROOT,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,214590,31851,1,abandon,1.8881416,fired,"And I was also frustrated when I called another physician before I fired him from my practice to say , you know , I 'm looking at his drug registry , and I see things that are very suspicious .",VERB,VBD,advcl,fire,called,VERB,call,advcl,,O,TRUE,FALSE,FALSE,xxxx,top
abandon,4898,15927,2,abandon,-1.0612483,repeat,"So , there 's Gallows and Anderson facing off against Cesaro and Sheamus for the honor of losing to New Day next week ( wash , rinse , repeat ) , and there 's Bayley taking on Alicia Fox because of some convoluted story involving a crush on Cedric Alexander .",NOUN,NN,conj,repeat,rinse,NOUN,rinse,conj,,O,TRUE,FALSE,FALSE,xxxx,bottom
abandon,30579,15927,4,abandon,-0.8919492,church,"Bev Plihal , a social worker who lives on a farm and runs the senior center , and Gerry Powers , a librarian who plays organ at church , said they thought Trump was n't returning the love he got from rural America .",NOUN,NN,pobj,church,at,ADP,at,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
abandon,31185,139338,2,abandon,-1.036383,Sunday,"He was driving a white Lexus before he was arrested around 2:20 a.m. on Sunday near the intersection of 86th Street and Avenue U in Gravesend , the police said .",PROPN,NNP,pobj,Sunday,on,ADP,on,prep,DATE,B,TRUE,FALSE,FALSE,Xxxxx,bottom
abandon,74374,139338,4,abandon,-0.9979918,year,"Today is a day of tears , "" Pope Francis , who went to Lampedusa earlier this year to call attention to the suffering of migrants , said Friday during a visit to Assisi . """,NOUN,NN,npadvmod,year,went,VERB,go,relcl,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
abandon,87806,39813,2,abandon,-0.9758245,7,"What is not in dispute : At about 7 p.m. , Trayvon , wearing a dark hoodie , bought Skittles and iced tea at a 7-Eleven , then walked back to Retreat at Twin Lakes , a gated community , in Sanford , Fla .",NUM,CD,nummod,7,p.m.,NOUN,p.m.,pobj,TIME,I,FALSE,FALSE,FALSE,d,bottom
abandon,115758,59718,4,abandon,-0.9196924,3,"The Model 3 , company CEO Elon Musk has admitted , will not .",NUM,CD,nummod,3,Model,PROPN,Model,nmod,PRODUCT,I,FALSE,FALSE,FALSE,d,bottom
abandon,152456,59718,1,abandon,-0.9528802,window,"and I know about the guy in the poem who 's leaning out of the window in his shirtsleeves , I think it is .",NOUN,NN,pobj,window,of,ADP,of,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
abandon,155563,218958,1,abandon,-0.89019316,week,"Japan 's Yukio Hatoyama , who threw out the first pitch at a Pirates-Dodgers game that week , would resign as prime minister before the next spring amid his country 's lingering economic ills .",NOUN,NN,npadvmod,week,threw,VERB,throw,relcl,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
abandon,186026,7965,0,abandon,-1.1254036,speaks,"Carlos , who lived in Los Angesles 28 years uncocumented before being deported , speaks through the U.S.-Mexico border fence to his wife and daughter on the American side on September 25 , 2016 in Tijuana , Mexico .",VERB,VBZ,ROOT,speak,speaks,VERB,speak,ROOT,,O,TRUE,FALSE,FALSE,xxxx,bottom
abandon,191771,931557,2,abandon,-0.97867686,years,"In the past 10 years two more chambers have come to light : one is a storage area for coffins and burial supplies , the other contains the mummy of a woman who was a singer at the Temple of Karnak .",NOUN,NNS,pobj,year,In,ADP,in,prep,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,187,310522,0,abdomen,3.1806405,back,"Richard that day as well , head bowed , hands held behind her back as she , too , had pledged her life in defense of the Seeker .",ADV,RB,advmod,back,held,VERB,hold,acl,,O,TRUE,TRUE,FALSE,xxxx,top
abdomen,9564,43795,3,abdomen,2.9950008,shoulder,"# Slowly , deliberately , I leaned over and squeezed Scully 's shoulder hard enough to make a point .",NOUN,NN,dobj,shoulder,squeezed,VERB,squeeze,conj,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,26967,23890,4,abdomen,2.8702347,shoulders,# The four men looked over their shoulders .,NOUN,NNS,pobj,shoulder,over,ADP,over,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,101641,71662,2,abdomen,2.9350302,shoulders,"He squared his shoulders and looked Smoke in the eye , not flinching though he was obviously frightened of the tall man with the incredibly wide shoulders standing before him .",NOUN,NNS,pobj,shoulder,with,ADP,with,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,102233,47776,3,abdomen,2.945475,shoulder,"Captain Newman set his hand on Fong 's shoulder . """,NOUN,NN,pobj,shoulder,on,ADP,on,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,111742,31852,1,abdomen,3.1620824,chest,"Battista turned his almost-black brown eyes back into the cavernous strongbox , deep-dimpled chin tucked into his chest .",NOUN,NN,pobj,chest,into,ADP,into,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,144864,31852,0,abdomen,2.7296908,knee,"WR Eric Decker ( thigh ) , TE Virgil Green ( hamstring ) , S Jim Leonhard ( calf ) , RB Willis McGahee ( knee ) , WR Brandon Stokley ( knee ) , WR Demaryius Thomas ( knee ) .",NOUN,NN,parataxis,knee,McGahee,PROPN,McGahee,conj,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,174558,63700,3,abdomen,3.031496,shoulder,"# Joe turned at the voice by his shoulder and took in Harry Benoit , a steaming mug of coffee in his hand .",NOUN,NN,pobj,shoulder,by,ADP,by,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,197043,7966,1,abdomen,2.9379053,chest,"But Naposki adamantly insists that he was not the unseen intruder and co-conspirator who pumped six bullets from a 9 mm handgun into health care entrepreneur William McLaughlin 's chest after sneaking into his Balboa Coves home on Dec. 15 , 1994 , and who then escaped into the darkness .",NOUN,NN,pobj,chest,into,ADP,into,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,211688,27871,2,abdomen,3.509336,shoulders,"She moved with purpose across the taxi area , lithe and professional in khaki pants and a crisp white shirt with captain 's bars on its shoulders .",NOUN,NNS,pobj,shoulder,on,ADP,on,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abdomen,10365,19909,0,abdomen,-1.8924539,block,"Wednesday 's first homicide occurred about 5:50 p.m. in the 1200 block of N. Carey St. , when an officer heard shots and searched the area .",NOUN,NN,pobj,block,in,ADP,in,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,36866,31852,0,abdomen,-2.0598733,Park,# Write to us at letters@ popsci.com or to Popular Science 2 Park Ave .,PROPN,NNP,compound,Park,Ave,PROPN,Ave,pobj,,O,TRUE,FALSE,FALSE,Xxxx,bottom
abdomen,71471,123415,2,abdomen,-2.1990685,board,"Cool 5 minutes , then transfer to cutting board using parchment paper to lift mixture from pan .",NOUN,NN,dobj,board,cutting,VERB,cut,pcomp,,O,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,89242,804166,3,abdomen,-2.1636598,year,She 'll be leaving a year and a half early ; she originally signed a three-year contract to work till September 2014 .,NOUN,NN,compound,year,contract,NOUN,contract,dobj,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,107797,11947,1,abdomen,-2.1888375,killing,"As part of a plea agreement , DeLuca will testify against former New England Mafia boss Francis "" Cadillac Frank "" Salemme and Paul Weadick , a plumber from Burlington , who were charged in September with killing DiSarro .",VERB,VBG,pcomp,kill,with,ADP,with,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,125091,4,1,abdomen,-1.9631056,office,"When she first came to my law office our **28;345;TOOLONG , Orlando Gomez , said to me , "" Your two o'clock is here . """,NOUN,NN,pobj,office,to,ADP,to,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,130448,465781,4,abdomen,-2.1835508,year,"Since launching in San Francisco in April 2014 and expanding to 12 additional metropolitan areas this year , Beepi is on track to be the largest used-car dealer in California by the end of 2015 , Savir said .",NOUN,NN,npadvmod,year,areas,NOUN,area,pobj,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,168995,43795,0,abdomen,-1.8719163,room,Curtain Call Floor-to-ceiling fabric looks bold and adds a bit of drama to any room.,NOUN,NN,pobj,room,to,ADP,to,prep,,O,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,193342,346351,1,abdomen,-2.0683491,week,"And the House seems likely to pass the two-year budget ( House Bill 49 ) this week , with T-CAP included .",NOUN,NN,npadvmod,week,Bill,PROPN,Bill,appos,DATE,I,TRUE,FALSE,FALSE,xxxx,bottom
abdomen,207318,123415,2,abdomen,-2.251707,car,"It has "" mood "" lighting across the front and sides to indicate to other drivers and pedestrians if the car is on driver , autonomous or ride sharing mode .",NOUN,NN,nsubj,car,is,AUX,be,advcl,,O,TRUE,FALSE,FALSE,xxx,bottom
abduct,13905,47777,1,abduct,2.0638635,killing,A district judge has denied a request for a mental health bond from a Richardson man accused of killing his girlfriend and dumping her body in a remote wooded pasture earlier this year .,VERB,VBG,pcomp,kill,of,ADP,of,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abduct,32572,147302,1,abduct,2.4361405,killing,"<h> Vermont woman convicted of killing ex-boyfriend , his son <h> Share story <p> BRATTLEBORO , Vt .",VERB,VBG,pcomp,kill,of,ADP,of,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abduct,38120,39815,2,abduct,2.635517,murder,<h> Second teen arrested in Gaston County murder of Charlotte teen <p>,NOUN,NN,pobj,murder,in,ADP,in,prep,,O,TRUE,FALSE,FALSE,xxxx,top
abduct,38296,123416,2,abduct,2.578575,murder,"Eric Deon Combs , 17 , was arrested in connection to the murder of a 14-year-old girl from Charlotte .",NOUN,NN,pobj,murder,to,ADP,to,prep,,O,TRUE,FALSE,FALSE,xxxx,top
